AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4239.487076,4223.58964,4233.84605,4232.820409,4247.179383,4224.102461,4232.307589,4218.974256,4216.922974,4220.512717,4232.820409,4258.461434,4212.307589,4242.051178
4239.999896,4222.563999,4234.358871,4214.358871,4251.794768,4214.871692,4231.281948,4222.563999,4214.358871,4221.025538,4231.281948,4254.871691,4214.358871,4239.999896
4234.358871,4215.384512,4229.743486,4222.051179,4261.538357,4218.974256,4233.33323,4226.153743,4218.461435,4229.230666,4231.794768,4248.717845,4215.384512,4232.307589
4231.281948,4216.410153,4227.179384,4244.615281,4249.230665,4221.025538,4232.820409,4226.666563,4224.102461,4227.179384,4231.794768,4249.743486,4213.33323,4230.769127
4232.820409,4219.999897,4230.256307,4235.384512,4230.256307,4213.33323,4228.717845,4222.051179,4219.999897,4214.358871,4230.769127,4251.794768,4208.717846,4233.84605
4233.84605,4213.33323,4227.692204,4219.999897,4229.743486,4216.922974,4227.179384,4217.435794,4215.897333,4209.230666,4230.256307,4248.205024,4206.666564,4234.871691
4227.692204,4210.256307,4216.410153,4227.179384,4248.205024,4228.205025,4229.230666,4217.435794,4221.025538,4212.82041,4225.640922,4243.076819,4205.128102,4229.743486
4227.692204,4217.435794,4218.974256,4232.307589,4261.025537,4227.692204,4231.281948,4219.487076,4219.487076,4220.512717,4226.153743,4245.128101,4209.743487,4228.205025
4239.487076,4218.461435,4232.307589,4234.358871,4251.794768,4218.461435,4226.666563,4219.487076,4217.435794,4223.07682,4234.358871,4251.794768,4217.435794,4239.999896
4245.640922,4218.461435,4234.358871,4231.281948,4246.153742,4219.999897,4222.563999,4217.948615,4224.615281,4221.025538,4233.84605,4253.333229,4215.384512,4248.205024
4238.974255,4223.58964,4227.692204,4222.051179,4250.256306,4230.769127,4229.230666,4218.461435,4223.07682,4228.205025,4229.230666,4247.692204,4213.33323,4237.435794
4234.871691,4222.051179,4226.666563,4226.666563,4238.461435,4225.640922,4232.307589,4218.974256,4214.871692,4227.692204,4231.794768,4244.615281,4216.922974,4229.743486
4237.435794,4215.384512,4226.153743,4235.384512,4226.666563,4210.769128,4221.025538,4216.410153,4215.384512,4211.281948,4228.205025,4246.666563,4213.846051,4236.922973
4235.384512,4217.948615,4221.025538,4230.769127,4238.974255,4211.281948,4215.384512,4211.794769,4216.922974,4205.128102,4220.512717,4246.153742,4205.640923,4236.922973
4236.922973,4219.487076,4221.538358,4228.205025,4260.512716,4221.538358,4227.179384,4213.33323,4216.410153,4224.615281,4224.615281,4248.205024,4210.769128,4232.820409
4245.128101,4217.435794,4229.230666,4237.435794,4261.538357,4220.512717,4234.358871,4225.128102,4216.922974,4239.487076,4240.512717,4256.410152,4221.025538,4239.487076
4247.179383,4225.128102,4239.487076,4242.051178,4251.281947,4221.025538,4230.769127,4229.743486,4216.922974,4230.769127,4244.10246,4261.538357,4219.487076,4246.666563
4248.205024,4232.820409,4243.58964,4237.435794,4256.410152,4231.794768,4230.769127,4222.051179,4224.615281,4222.051179,4237.948614,4263.076819,4216.410153,4249.230665
4248.717845,4233.33323,4238.974255,4224.102461,4258.974255,4234.358871,4235.384512,4220.512717,4232.820409,4228.717845,4239.487076,4261.025537,4219.487076,4248.205024
4236.922973,4226.153743,4227.179384,4213.846051,4237.948614,4223.07682,4231.281948,4221.538358,4223.07682,4237.435794,4238.461435,4250.769127,4214.871692,4235.897332
4228.717845,4221.025538,4223.58964,4224.615281,4232.307589,4214.358871,4226.666563,4217.435794,4213.33323,4228.717845,4229.230666,4244.10246,4208.205025,4228.717845
4234.871691,4226.153743,4229.743486,4240.512717,4255.897332,4219.999897,4230.769127,4215.384512,4217.948615,4217.948615,4229.743486,4249.230665,4215.384512,4237.948614
4236.922973,4224.615281,4225.640922,4236.410153,4254.35887,4222.563999,4226.666563,4217.435794,4218.461435,4220.512717,4236.922973,4252.820409,4213.846051,4238.461435
4225.128102,4211.281948,4215.384512,4226.666563,4241.025537,4213.33323,4217.948615,4215.897333,4213.846051,4221.025538,4230.769127,4247.692204,4201.025538,4227.692204
4219.487076,4210.256307,4216.410153,4230.256307,4246.153742,4205.128102,4216.922974,4215.897333,4213.846051,4214.871692,4223.07682,4245.640922,4204.102461,4228.717845
4224.615281,4217.435794,4217.435794,4223.58964,4237.435794,4208.717846,4219.487076,4215.897333,4215.897333,4212.82041,4226.666563,4246.153742,4212.82041,4232.820409
4231.794768,4218.461435,4216.922974,4211.794769,4233.84605,4222.563999,4223.58964,4216.922974,4221.538358,4216.922974,4232.307589,4248.717845,4210.769128,4232.307589
4232.820409,4219.999897,4223.07682,4219.487076,4255.384511,4229.230666,4232.307589,4227.692204,4227.179384,4225.128102,4233.84605,4248.205024,4212.307589,4231.281948
4228.205025,4220.512717,4223.58964,4235.897332,4257.435793,4225.640922,4234.871691,4233.84605,4226.153743,4237.948614,4231.281948,4247.179383,4216.922974,4228.205025
