AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4091.281951,4200.512718,4218.974256,4225.128102,4218.461435,4224.615281,4216.410153,4214.358871,4204.615282,4225.640922,4222.051179,4227.179384,4231.794768,4221.538358
4081.025541,4198.461436,4219.999897,4224.102461,4216.922974,4229.230666,4218.461435,4214.871692,4196.922974,4213.846051,4215.384512,4219.487076,4228.205025,4214.871692
4075.384516,4205.128102,4227.692204,4227.179384,4219.487076,4226.666563,4216.410153,4215.897333,4195.384513,4212.82041,4219.487076,4217.435794,4229.743486,4218.974256
4081.538362,4216.922974,4236.410153,4233.84605,4218.461435,4225.640922,4218.974256,4218.974256,4215.384512,4226.153743,4232.307589,4226.153743,4243.076819,4232.307589
4082.051182,4217.435794,4236.922973,4234.358871,4218.461435,4226.153743,4223.07682,4225.128102,4231.794768,4232.307589,4234.871691,4228.205025,4252.307588,4232.820409
4073.846054,4212.82041,4234.358871,4230.769127,4226.153743,4226.153743,4218.974256,4230.256307,4229.743486,4230.256307,4229.230666,4228.205025,4249.230665,4226.153743
4074.871695,4218.461435,4238.974255,4233.33323,4228.205025,4223.07682,4215.384512,4232.307589,4237.435794,4233.33323,4236.410153,4244.10246,4247.179383,4232.307589
4075.384516,4219.487076,4239.487076,4233.84605,4217.948615,4226.153743,4219.487076,4229.230666,4253.333229,4235.897332,4243.58964,4245.128101,4247.692204,4235.897332
4065.128106,4213.33323,4228.717845,4229.743486,4214.871692,4222.563999,4218.974256,4219.999897,4237.435794,4233.33323,4235.897332,4236.922973,4241.025537,4229.230666
4067.179388,4219.999897,4232.307589,4233.33323,4227.179384,4220.512717,4213.846051,4212.307589,4223.07682,4229.743486,4231.281948,4237.948614,4234.871691,4230.769127
4072.820413,4225.640922,4234.871691,4235.897332,4229.743486,4225.640922,4214.871692,4215.384512,4220.512717,4225.128102,4230.256307,4196.410154,4232.820409,4232.820409
4060.512721,4216.410153,4221.538358,4228.717845,4224.615281,4229.230666,4216.922974,4215.384512,4196.922974,4214.871692,4221.025538,4122.051181,4227.692204,4221.538358
4052.820414,4212.82041,4216.922974,4226.153743,4226.153743,4226.153743,4216.410153,4212.307589,4171.79477,4215.897333,4219.999897,4101.538361,4225.640922,4213.846051
4061.538362,4217.948615,4225.640922,4233.84605,4224.102461,4228.205025,4219.999897,4221.025538,4182.05118,4228.717845,4229.743486,4124.102463,4228.717845,4219.487076
4062.051183,4216.922974,4226.666563,4233.84605,4216.922974,4229.743486,4226.153743,4229.230666,4193.333231,4229.230666,4229.230666,4126.153745,4228.205025,4222.563999
4055.897337,4214.871692,4224.615281,4229.230666,4216.410153,4226.153743,4225.640922,4229.743486,4191.281949,4224.102461,4227.692204,4125.640925,4226.666563,4224.615281
4059.48708,4214.358871,4227.179384,4230.256307,4218.461435,4226.666563,4222.051179,4231.281948,4198.461436,4229.743486,4233.84605,4141.53836,4230.256307,4229.743486
4059.48708,4209.743487,4223.58964,4228.205025,4218.461435,4227.692204,4223.07682,4230.769127,4199.487077,4233.84605,4233.33323,4147.692206,4231.281948,4230.769127
4053.846055,4205.640923,4221.538358,4224.615281,4217.948615,4224.615281,4222.051179,4229.743486,4189.743487,4229.230666,4232.307589,4150.256309,4230.769127,4227.692204
4053.333234,4204.615282,4226.153743,4222.563999,4216.410153,4222.051179,4216.922974,4228.717845,4188.717846,4226.153743,4231.794768,4159.487078,4227.692204,4224.615281
4058.97426,4211.794769,4229.743486,4224.102461,4215.897333,4223.07682,4215.897333,4223.07682,4198.461436,4229.743486,4231.794768,4175.897334,4228.717845,4228.205025
4061.025542,4213.33323,4232.307589,4224.615281,4212.82041,4221.025538,4216.922974,4224.102461,4205.128102,4232.307589,4232.307589,4196.922974,4228.717845,4232.820409
4050.256311,4195.897333,4231.794768,4218.974256,4208.205025,4221.538358,4217.435794,4231.281948,4197.435795,4225.640922,4222.051179,4212.307589,4212.307589,4221.538358
4054.358875,4189.743487,4235.897332,4220.512717,4213.846051,4221.025538,4218.974256,4232.307589,4195.897333,4221.025538,4224.615281,4227.179384,4210.256307,4222.051179
4083.589644,4212.307589,4253.84605,4232.820409,4218.974256,4225.128102,4224.615281,4233.33323,4238.461435,4235.897332,4249.743486,4250.769127,4243.076819,4251.281947
4100.51272,4223.58964,4264.61528,4234.358871,4213.846051,4227.179384,4227.692204,4233.84605,4283.589639,4250.769127,4263.589639,4266.666562,4266.153742,4269.743485
4094.871695,4208.717846,4257.435793,4227.179384,4214.358871,4227.692204,4226.666563,4230.769127,4290.769126,4246.666563,4260.512716,4267.692203,4262.051178,4265.128101
