AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4216.410153,4262.563998,4211.281948,4216.922974,4227.179384,4218.974256,4221.025538,4211.281948,4218.461435,4207.179384,4202.051179,4216.922974,4222.051179,4189.230667
4217.948615,4263.076819,4213.33323,4217.435794,4286.153741,4218.974256,4228.717845,4214.358871,4222.051179,4234.358871,4199.999897,4221.025538,4221.538358,4194.871692
4217.948615,4259.999896,4213.33323,4214.871692,4236.922973,4224.102461,4233.33323,4216.922974,4224.102461,4214.871692,4196.922974,4223.07682,4223.07682,4194.358872
4215.384512,4255.384511,4212.82041,4216.922974,4166.153744,4217.435794,4222.051179,4213.33323,4216.410153,4199.487077,4205.640923,4222.563999,4230.256307,4195.384513
4215.384512,4253.84605,4214.871692,4216.922974,4187.692205,4211.281948,4216.410153,4214.358871,4214.871692,4199.999897,4217.948615,4223.58964,4230.769127,4197.435795
4216.922974,4251.794768,4212.307589,4211.281948,4253.333229,4216.922974,4218.974256,4212.82041,4215.384512,4182.05118,4216.922974,4227.179384,4221.538358,4194.358872
4215.897333,4248.205024,4207.692205,4212.82041,4239.487076,4215.897333,4214.358871,4201.025538,4212.307589,4179.999898,4200.512718,4226.666563,4217.948615,4193.333231
4216.922974,4254.871691,4212.307589,4219.487076,4212.82041,4214.358871,4213.846051,4199.999897,4215.384512,4211.281948,4193.846051,4221.538358,4227.179384,4195.897333
4222.051179,4263.589639,4215.384512,4219.999897,4218.461435,4216.922974,4216.922974,4212.307589,4218.974256,4213.846051,4208.205025,4224.102461,4233.33323,4194.358872
4229.230666,4262.051178,4213.33323,4217.435794,4215.897333,4218.461435,4216.410153,4215.384512,4217.948615,4197.435795,4223.07682,4228.717845,4232.820409,4198.974256
4234.358871,4261.538357,4220.512717,4218.461435,4206.153743,4221.538358,4217.948615,4208.205025,4218.974256,4215.384512,4217.435794,4212.82041,4234.358871,4207.179384
4229.743486,4261.025537,4220.512717,4221.025538,4212.82041,4217.948615,4218.461435,4203.589641,4218.974256,4219.999897,4199.487077,4189.230667,4232.820409,4202.051179
4215.897333,4252.307588,4205.640923,4217.435794,4221.025538,4208.717846,4214.871692,4204.615282,4215.384512,4188.205026,4196.922974,4179.487077,4226.666563,4193.333231
4210.769128,4244.615281,4202.051179,4208.205025,4235.897332,4213.33323,4216.410153,4211.281948,4215.897333,4185.640923,4209.230666,4183.589641,4228.717845,4197.948615
4221.538358,4246.153742,4215.384512,4210.769128,4215.897333,4221.025538,4222.051179,4214.871692,4221.538358,4201.025538,4217.435794,4189.743487,4232.307589,4205.640923
4231.794768,4254.871691,4221.538358,4223.07682,4174.871693,4217.435794,4224.615281,4213.846051,4220.512717,4204.615282,4223.07682,4197.435795,4237.948614,4211.794769
4233.33323,4259.999896,4217.435794,4221.538358,4219.999897,4216.922974,4222.563999,4214.871692,4216.410153,4208.717846,4229.230666,4199.999897,4245.128101,4216.922974
4236.922973,4260.512716,4222.051179,4220.512717,4252.307588,4220.512717,4218.461435,4215.384512,4223.07682,4221.025538,4229.743486,4197.435795,4246.666563,4216.922974
4245.128101,4263.589639,4232.307589,4231.794768,4237.948614,4222.563999,4218.461435,4213.33323,4233.33323,4234.358871,4227.179384,4203.589641,4246.153742,4217.948615
4247.179383,4264.10246,4231.794768,4231.794768,4210.256307,4216.410153,4221.025538,4216.410153,4229.743486,4233.33323,4231.281948,4211.281948,4249.230665,4224.102461
4247.179383,4263.589639,4229.743486,4227.692204,4149.743488,4207.179384,4217.435794,4218.461435,4218.461435,4220.512717,4234.358871,4210.256307,4250.256306,4224.102461
4245.128101,4262.051178,4229.743486,4229.743486,4188.717846,4209.230666,4213.33323,4212.82041,4214.871692,4215.384512,4224.615281,4205.128102,4242.563999,4214.358871
4238.461435,4255.897332,4225.128102,4222.051179,4298.461433,4218.974256,4217.435794,4211.794769,4217.435794,4217.435794,4210.769128,4205.128102,4233.84605,4209.743487
4233.33323,4248.717845,4217.435794,4211.281948,4259.487075,4216.922974,4219.999897,4215.384512,4217.435794,4207.692205,4209.230666,4203.07682,4232.820409,4210.256307
4231.281948,4246.666563,4214.358871,4216.922974,4176.922975,4207.179384,4214.358871,4206.153743,4214.358871,4190.256308,4215.384512,4197.948615,4234.871691,4204.102461
4227.179384,4249.743486,4216.410153,4223.58964,4184.102462,4209.743487,4212.307589,4198.461436,4212.307589,4183.589641,4214.358871,4201.538359,4233.84605,4201.538359
4233.33323,4259.487075,4228.205025,4223.58964,4178.974257,4216.922974,4217.435794,4210.769128,4214.358871,4204.615282,4214.358871,4210.256307,4234.871691,4214.358871
4243.076819,4259.999896,4233.33323,4224.102461,4210.769128,4217.948615,4216.410153,4216.410153,4215.897333,4236.410153,4217.435794,4212.82041,4239.999896,4219.999897
4232.820409,4245.128101,4223.07682,4220.512717,4286.666562,4214.871692,4214.358871,4204.615282,4215.384512,4232.307589,4217.435794,4212.307589,4237.948614,4212.307589
4226.153743,4249.743486,4220.512717,4219.487076,4252.307588,4212.82041,4213.846051,4197.435795,4212.82041,4210.769128,4215.384512,4212.82041,4232.307589,4208.205025
4244.10246,4275.384511,4227.692204,4231.281948,4160.512719,4213.33323,4212.82041,4201.025538,4210.769128,4194.358872,4214.871692,4214.358871,4233.33323,4208.205025
4254.35887,4285.1281,4227.179384,4237.948614,4191.281949,4219.487076,4216.410153,4205.128102,4216.410153,4184.615282,4209.743487,4210.256307,4229.743486,4204.102461
